Name,units
Abrigo – Cobertores,units
Abrigo – Sacos Cama,units
Água,liters
Alimentos – Alimentação Infantil,units
Alimentos – Enlatados,units
Alimentos – Secos,kilos
Combustíveis – Gasóleo,liters
Combustíveis – Gasolina,liters
Comunicação – Rádios a Pilhas,units
Eletrodomésticos – Fogões,units
Eletrodomésticos – Micro-ondas,units
Eletrodomésticos – Outros,units
Energia – Carregadores de Telemóvel,units
Energia – Geradores,units
Energia – Lanternas,units
Energia – Pilhas,units
Equipamentos de Mobilidade – Cadeiras de Rodas,units
Equipamentos de Mobilidade – Outros,units
Higiene Feminina ,units
Higiene Pessoal – Básicos,units
Higiene Pessoal – Fraldas,units
Kits de Primeiros Socorros,units
Materiais de Construção – Blocos/Tijolos,units
Materiais de Construção – Lonas,units
Materiais de Construção – Telhas,units
Medicamentos – Analgésicos ,units
Medicamentos – Antibióticos,units
Medicamentos – Outros,units
Pares de Calçado,units
Produtos de Limpeza,units
Veículos,units
Alimentos – Outros,
Vestuário,
