Codigo,Especie,Tipo,Descricao
1101,Fenómenos Naturais,Cheia,"Intervenção em proteção e socorro na sequência da saída dos cursos de água dos seus leitos naturais, em função de precipitações intensas ou outros fenómenos."
1102,Fenómenos Naturais,Exercício de Cheia,"Exercício no âmbito de uma intervenção em proteção e socorro na sequência da saída dos cursos de água dos seus leitos naturais, em função de precipitações intensas ou outros fenómenos."
1103,Fenómenos Naturais,Ventos fortes,"Intervenção em proteção e socorro de pessoas e bens, na sequência de ventos fortes que podem assumir a forma de tornados ou outros fenómenos criados por ciclogénese."
1104,Fenómenos Naturais,Exercício de Ventos fortes,"Exercício no âmbito de uma intervenção em proteção e socorro de pessoas e bens, na sequência de ventos fortes que podem assumir a forma de tornados ou outros fenómenos criados por ciclogénese."
1105,Fenómenos Naturais,Sismo,"Intervenção em proteção e socorro de pessoas e bens, na sequência de um sismo."
1106,Fenómenos Naturais,Exercício de Sismo,"Exercício no âmbito de uma intervenção em proteção e socorro de pessoas e bens, na sequência de um sismo."
1107,Fenómenos Naturais,Nevões,"Assistência à população em resultado da queda de neve que impeça a circulação ou o acesso a áreas habitadas."
1108,Fenómenos Naturais,Exercício de Nevões,"Exercício no âmbito de uma assistência à população em resultado da queda de neve que impeça a circulação ou o acesso a áreas habitadas."
1109,Fenómenos Naturais,Ondas de calor,Assistência à população motivada por ondas de calor.
1110,Fenómenos Naturais,Exercício de Ondas de calor,Exercício no âmbito de uma assistência à população motivada por ondas de calor.
1111,Fenómenos Naturais,Ondas de frio,Assistência à população motivada por ondas de frio.
1112,Fenómenos Naturais,Exercício de Ondas de frio,Exercício no âmbito de uma assistência à população motivada por ondas de frio.
1113,Fenómenos Naturais,Secas,Assistência à população motivada por ausência prolongada de precipitação.
1114,Fenómenos Naturais,Exercício de Secas,Exercício no âmbito de uma assistência à população motivada por ausência prolongada de precipitação.
1115,Fenómenos Naturais,Inundação por galgamento costeiro,"Invasão de áreas costeiras por água do mar ou de estuários, por sobre-elevação da maré ou em resultado de tsunami."
1116,Fenómenos Naturais,Exercício de inundação por galgamento costeiro,"Exercício no âmbito de uma invasão de áreas costeiras por água do mar ou de estuários, por sobre-elevação da maré ou em resultado de tsunami."
1117,Fenómenos Naturais,Erosão costeira,"Destruição de praias e sistemas dunares por erosão costeira, não envolvendo invasão de áreas costeiras por água."
1118,Fenómenos Naturais,Exercício de Erosão costeira,"Exercício no âmbito de uma destruição de praias e sistemas dunares por erosão costeira, não envolvendo invasão de áreas costeiras por água."
1119,Fenómenos Naturais,Colapso de cavidades subterrâneas naturais,"Ações de busca, resgate ou assistência no decurso do colapso de cavidades subterrâneas naturais."
1120,Fenómenos Naturais,Exercício de Colapso de cavidades subterrâneas naturais,"Exercício no âmbito de ações de busca, resgate ou assistência no decurso do colapso de cavidades subterrâneas naturais."
1121,Fenómenos Naturais,Atividade Vulcânica,Ações de proteção e socorro no decurso de atividade vulcânica.
1122,Fenómenos Naturais,Exercício de Atividade Vulcânica,Exercício no âmbito de ações de proteção e socorro no decurso de atividade vulcânica.
1123,Fenómenos Naturais,Queda de Meteorito,Queda de meteorito em território nacional.
1124,Fenómenos Naturais,Exercício de Queda de Meteorito,Exercício no âmbito de uma queda de meteorito em território nacional.
1125,Fenómenos Naturais,Enxurrada / Aluvião,"Intervenção em proteção e socorro na sequência de grande quantidade de água que corre com violência, dentro ou fora dos seus leitos naturais, resultantes de chuvas abundantes e que arrastam no seu fluxo grandes quantidades de solo e detritos, e que podem provocar transbordo dos cursos de água."
1126,Fenómenos Naturais,Exercício de Enxurrada / Aluvião,"Exercício no âmbito de uma intervenção em proteção e socorro na sequência de grande quantidade de água que corre com violência, dentro ou fora dos seus leitos naturais, resultantes de chuvas abundantes e que arrastam no seu fluxo grandes quantidades de solo e detritos, e que podem provocar transbordo dos cursos de água."
2101,Incêndios Urbanos ou em Área Urbanizável,Habitacional,"Incêndio em edifícios ou parte de edifício destinados a habitação uni- ou multifamiliar, incluindo espaços comuns de acesso e áreas não residenciais reservadas ao uso exclusivo dos residentes."
2102,Incêndios Urbanos ou em Área Urbanizável,Exercício Habitacional,"Exercício no âmbito de um incêndio em edifícios ou parte de edifício destinados a habitação uni- ou multifamiliar, incluindo espaços comuns de acesso e áreas não residenciais reservadas ao uso exclusivo dos residentes."
